# MAUVE passband
# Derived from the MAUVE effective-area curve (Wavelength [nm], Effective area [cm2])
#   supplied by the user; normalised to unit peak. Only the spectral shape enters the
#   flux ratio, so the absolute collecting area cancels.
# Created: 2026-07-28
# provenance: official
# unit: nm
# transmission: fraction
468.6345 0.904292
468.9157 0.905307
469.1968 0.906421
469.4779 0.907530
469.7589 0.908285
470.0400 0.908002
470.3210 0.907708
470.6020 0.907412
470.8830 0.907113
471.1639 0.906812
471.4449 0.906509
471.7258 0.906204
472.0067 0.899694
472.2876 0.900248
472.5684 0.901232
472.8492 0.902214
473.1300 0.903195
473.4108 0.904173
473.6916 0.905151
473.9723 0.906127
474.2530 0.907098
474.5337 0.908068
474.8144 0.908595
475.0950 0.908559
475.3757 0.908523
475.6563 0.908486
475.9368 0.908449
476.2174 0.908420
476.4979 0.908838
476.7784 0.909489
477.0589 0.910141
477.3394 0.910793
477.6198 0.911445
477.9003 0.912083
478.1807 0.912661
478.4610 0.913236
478.7414 0.913812
479.0217 0.910206
479.3020 0.910614
479.5823 0.911022
479.8626 0.911430
480.1428 0.911837
480.4231 0.912244
480.7033 0.912961
480.9834 0.913707
481.2636 0.914454
481.5437 0.915201
481.8238 0.915949
482.1039 0.916697
482.3840 0.917446
482.6640 0.918196
482.9441 0.918946
483.2241 0.919696
483.5040 0.920446
483.7840 0.920460
484.0639 0.920361
484.3438 0.920269
484.6237 0.920252
484.9036 0.920667
485.1834 0.921081
485.4632 0.921494
485.7430 0.921905
486.0228 0.922315
486.3025 0.922842
486.5823 0.923748
486.8620 0.924653
487.1416 0.925558
487.4213 0.926463
487.7009 0.927367
487.9806 0.928271
488.2601 0.929161
488.5397 0.930050
488.8193 0.930877
489.0988 0.931596
489.3783 0.931947
489.6578 0.931062
489.9372 0.930173
490.2166 0.929285
490.4961 0.928480
490.7754 0.928446
491.0548 0.928410
491.3341 0.928373
491.6135 0.928334
491.8928 0.928311
492.1720 0.928314
492.4513 0.928317
492.7305 0.928318
493.0097 0.921879
493.2889 0.921542
493.5681 0.921205
493.8472 0.920866
494.1263 0.920527
494.4054 0.920187
494.6845 0.919846
494.9635 0.919505
495.2425 0.920497
495.5215 0.922540
495.8005 0.924584
496.0795 0.926630
496.3584 0.926938
496.6373 0.924856
496.9162 0.922772
497.1950 0.920318
497.4739 0.917742
497.7527 0.915166
498.0315 0.906747
498.3103 0.906335
498.5890 0.905924
498.8677 0.905512
499.1464 0.905100
499.4251 0.904688
499.7038 0.904277
499.9824 0.882751
500.2610 0.881942
500.5396 0.881134
500.8182 0.880326
501.0967 0.879518
501.3752 0.878140
501.6537 0.876712
501.9322 0.875285
502.2106 0.873855
502.4891 0.860022
502.7675 0.857273
503.0459 0.854527
503.3242 0.853364
503.6025 0.853429
503.8809 0.853493
504.1591 0.853558
504.4374 0.853623
504.7157 0.853687
504.9939 0.853750
505.2721 0.853802
505.5502 0.852460
505.8284 0.847645
506.1065 0.842827
506.3846 0.838014
506.6627 0.833208
506.9408 0.828410
507.2188 0.823620
507.4968 0.818837
507.7748 0.814062
508.0528 0.811136
508.3307 0.808285
508.6086 0.805439
508.8865 0.802597
509.1644 0.782623
509.4422 0.780582
509.7201 0.778429
509.9979 0.776280
510.2756 0.774134
510.5534 0.771992
510.8311 0.769854
511.1088 0.767718
511.3865 0.765585
511.6642 0.763454
511.9418 0.761327
512.2194 0.759204
512.4970 0.757084
512.7746 0.754966
513.0522 0.752852
513.3297 0.750741
513.6072 0.749072
513.8847 0.749543
514.1621 0.750012
514.4395 0.750478
514.7169 0.750869
514.9943 0.747195
515.2717 0.743529
515.5490 0.739871
515.8263 0.736220
516.1036 0.734240
516.3809 0.732541
516.6581 0.730845
516.9354 0.729150
517.2126 0.727458
517.4897 0.725768
517.7669 0.724079
518.0440 0.722394
518.3211 0.720783
518.5982 0.719236
518.8752 0.717690
519.1523 0.716147
519.4293 0.714604
519.7063 0.713061
519.9832 0.711510
520.2602 0.709962
520.5371 0.708488
520.8140 0.707104
521.0909 0.706034
521.3677 0.705043
521.6445 0.704052
521.9213 0.703062
522.1981 0.702069
522.4748 0.701076
522.7516 0.700083
523.0283 0.699090
523.3050 0.698098
523.5816 0.697107
523.8582 0.696116
524.1349 0.695124
524.4114 0.694131
524.6880 0.693138
524.9645 0.692146
525.2411 0.691305
525.5176 0.690613
525.7940 0.689921
526.0705 0.689229
526.3469 0.688538
526.6233 0.687846
526.8997 0.687155
527.1760 0.686463
527.4523 0.685771
527.7286 0.685079
528.0049 0.684386
528.2812 0.683692
528.5574 0.682998
528.8336 0.682304
529.1098 0.681610
529.3860 0.680915
529.6621 0.680220
529.9382 0.679525
530.2143 0.678878
530.4904 0.678304
530.7664 0.677729
531.0424 0.677154
531.3184 0.676578
531.5944 0.676001
531.8703 0.675425
532.1463 0.674848
532.4222 0.674271
532.6980 0.673693
532.9739 0.673115
533.2497 0.672652
533.5255 0.672555
533.8013 0.672485
534.0771 0.672421
534.3528 0.672351
534.6285 0.672279
534.9042 0.672205
535.1798 0.672130
535.4555 0.672053
535.7311 0.671974
536.0067 0.671893
536.2823 0.671806
536.5578 0.671716
536.8333 0.671625
537.1088 0.671361
537.3843 0.670654
537.6597 0.669946
537.9351 0.669238
538.2105 0.668535
538.4859 0.667834
538.7613 0.667134
539.0366 0.666432
539.3119 0.665731
539.5872 0.665029
539.8624 0.664328
540.1377 0.663851
540.4129 0.665434
540.6881 0.667012
540.9632 0.668583
541.2383 0.670149
541.5135 0.671709
541.7885 0.673263
542.0636 0.674811
542.3386 0.676354
542.6137 0.676823
542.8886 0.676846
543.1636 0.676867
543.4386 0.676886
543.7135 0.676903
543.9884 0.676918
544.2632 0.676931
544.5381 0.676941
544.8129 0.676949
545.0877 0.676955
545.3625 0.677033
545.6372 0.677177
545.9120 0.678152
546.1867 0.679064
546.4613 0.679972
546.7360 0.680877
547.0106 0.681778
547.2852 0.681874
547.5598 0.681876
547.8344 0.681839
548.1089 0.681801
548.3834 0.681760
548.6579 0.681719
548.9323 0.681675
549.2068 0.681630
549.4812 0.681898
549.7556 0.682478
550.0299 0.683054
550.3043 0.683624
550.5786 0.684191
550.8529 0.684753
551.1271 0.685311
551.4014 0.685866
551.6756 0.686417
551.9498 0.686964
552.2240 0.687507
552.4981 0.688047
552.7722 0.688583
553.0463 0.689116
553.3204 0.689644
553.5944 0.690284
553.8685 0.691104
554.1425 0.691922
554.4164 0.692738
554.6904 0.693551
554.9643 0.694361
555.2382 0.692262
555.5121 0.692693
555.7859 0.693123
556.0598 0.693550
556.3336 0.693971
556.6074 0.694391
556.8811 0.694808
557.1548 0.695224
557.4285 0.695637
557.7022 0.696005
557.9759 0.696208
558.2495 0.696374
558.5231 0.696538
558.7967 0.696699
559.0703 0.696859
559.3438 0.697016
559.6173 0.697171
559.8908 0.697324
560.1643 0.697513
560.4377 0.697913
560.7111 0.698311
560.9845 0.698705
