teff,logg,mh,alpha,node
27000,4.25,-1,0,814
27000,4.25,-0.699,0,815
27000,4.25,-0.301,0,816
27000,4.25,0,0,818
27000,4.25,0.301,0,819
27000,4.5,-1,0,820
27000,4.5,-0.699,0,821
27000,4.5,-0.301,0,822
27000,4.5,0,0,824
27000,4.5,0.301,0,825
27000,4.75,-1,0,826
27000,4.75,-0.699,0,827
27000,4.75,-0.301,0,828
27000,4.75,0,0,830
27000,4.75,0.301,0,831
28000,2.75,-1,0,832
28000,2.75,-0.699,0,833
28000,2.75,-0.301,0,834
28000,2.75,0,0,836
28000,2.75,0.301,0,837
28000,3,-1,0,838
28000,3,-0.699,0,839
28000,3,-0.301,0,840
28000,3,0,0,842
28000,3,0.301,0,843
28000,3.25,-1,0,844
28000,3.25,-0.699,0,845
28000,3.25,-0.301,0,846
28000,3.25,0,0,848
28000,3.25,0.301,0,849
28000,3.5,-1,0,850
28000,3.5,-0.699,0,851
28000,3.5,-0.301,0,852
28000,3.5,0,0,854
28000,3.5,0.301,0,855
28000,3.75,-1,0,856
28000,3.75,-0.699,0,857
28000,3.75,-0.301,0,858
28000,3.75,0,0,860
28000,3.75,0.301,0,861
28000,4,-1,0,862
28000,4,-0.699,0,863
28000,4,-0.301,0,864
28000,4,0,0,866
28000,4,0.301,0,867
28000,4.25,-1,0,868
28000,4.25,-0.699,0,869
28000,4.25,-0.301,0,870
28000,4.25,0,0,872
28000,4.25,0.301,0,873
28000,4.5,-1,0,874
28000,4.5,-0.699,0,875
28000,4.5,-0.301,0,876
28000,4.5,0,0,878
28000,4.5,0.301,0,879
28000,4.75,-1,0,880
28000,4.75,-0.699,0,881
28000,4.75,-0.301,0,882
28000,4.75,0,0,884
28000,4.75,0.301,0,885
29000,3,-1,0,886
29000,3,-0.699,0,887
29000,3,-0.301,0,888
29000,3,0,0,890
29000,3,0.301,0,891
29000,3.25,-1,0,892
29000,3.25,-0.699,0,893
29000,3.25,-0.301,0,894
29000,3.25,0,0,896
29000,3.25,0.301,0,897
29000,3.5,-1,0,898
29000,3.5,-0.699,0,899
29000,3.5,-0.301,0,900
29000,3.5,0,0,902
29000,3.5,0.301,0,903
29000,3.75,-1,0,904
29000,3.75,-0.699,0,905
29000,3.75,-0.301,0,906
29000,3.75,0,0,908
29000,3.75,0.301,0,909
29000,4,-1,0,910
29000,4,-0.699,0,911
29000,4,-0.301,0,912
29000,4,0,0,914
29000,4,0.301,0,915
29000,4.25,-1,0,916
29000,4.25,-0.699,0,917
29000,4.25,-0.301,0,918
29000,4.25,0,0,920
29000,4.25,0.301,0,921
29000,4.5,-1,0,922
29000,4.5,-0.699,0,923
29000,4.5,-0.301,0,924
29000,4.5,0,0,926
29000,4.5,0.301,0,927
29000,4.75,-1,0,928
29000,4.75,-0.699,0,929
29000,4.75,-0.301,0,930
29000,4.75,0,0,932
29000,4.75,0.301,0,933
30000,3,-1,0,934
30000,3,-0.699,0,935
30000,3,-0.301,0,936
30000,3,0,0,938
30000,3,0.301,0,939
30000,3.25,-1,0,940
30000,3.25,-0.699,0,941
30000,3.25,-0.301,0,942
30000,3.25,0,0,944
30000,3.25,0.301,0,945
30000,3.5,-1,0,946
30000,3.5,-0.699,0,947
30000,3.5,-0.301,0,948
30000,3.5,0,0,950
30000,3.5,0.301,0,951
30000,3.75,-1,0,952
30000,3.75,-0.699,0,953
30000,3.75,-0.301,0,954
30000,3.75,0,0,956
30000,3.75,0.301,0,957
30000,4,-1,0,958
30000,4,-0.699,0,959
30000,4,-0.301,0,960
30000,4,0,0,962
30000,4,0.301,0,963
30000,4.25,-1,0,964
30000,4.25,-0.699,0,965
30000,4.25,-0.301,0,966
30000,4.25,0,0,968
30000,4.25,0.301,0,969
30000,4.5,-1,0,970
30000,4.5,-0.699,0,971
30000,4.5,-0.301,0,972
30000,4.5,0,0,974
30000,4.5,0.301,0,975
30000,4.75,-1,0,976
30000,4.75,-0.699,0,977
30000,4.75,-0.301,0,978
30000,4.75,0,0,980
30000,4.75,0.301,0,981
32500,3.25,-1,0,982
32500,3.25,-0.699,0,983
32500,3.25,-0.301,0,984
32500,3.25,0,0,986
32500,3.25,0.301,0,987
32500,3.5,-1,0,988
